회차,등위,상호명,당첨방식,소재지,cleaned_address
1205,1등,황금대박점,자동,대구 수성구 지범로 62 1층 복권판매점,대구 수성구 지범로 62
1205,1등,복권명당신기점,자동,대구 동구 율하동로24길 49,대구 동구 율하동로 24길 49
1205,1등,행운강림 로또방,자동,경기 안산시 상록구 반석로 54 126동 167호,경기 안산시 상록구 반석로 54
1205,1등,기장슈퍼,자동,부산 기장군 차성동로 69,부산 기장군 차성동로 69
1205,1등,운수대통복권방,수동,충남 천안시 동남구 대흥로 122 중앙시장 입구,충남 천안시 동남구 대흥로 122
1205,1등,별복권방,자동,충북 청주시 흥덕구 덕암로114번길 28 1층,충북 청주시 흥덕구 덕암로 114번길 28
1205,1등,명당,자동,경남 진주시 동부로 1356 1층 일부호,경남 진주시 동부로 1356
1205,1등,부일카서비스,자동,부산 동구 자성로133번길 35,부산 동구 자성로 133번길 35
1205,1등,평생꽃길대연점,자동,부산 남구 수영로266번길 37,부산 남구 수영로 266번길 37
1204,1등,인현동지하가판,자동,인천 중구 참외전로 132-2 동인천역 78번 출구 지하1층 가판대,인천 중구 참외전로 132-2
1204,1등,로또명당인주점,자동,충남 아산시 서해로 519-2,충남 아산시 서해로 519-2
1204,1등,대박마트복권방,자동,충남 아산시 음봉로 844 태화상가1층103호,충남 아산시 음봉로 844
1204,1등,썬마트,자동,충북 청주시 흥덕구 진재로23번길 25,충북 청주시 흥덕구 진재로 23번길 25
1204,1등,로또복권방,자동,충북 청주시 청원구 내수로 725-1 디지털프라자 옆,충북 청주시 청원구 내수로 725-1
1204,1등,스마일로또,자동,충북 제천시 신죽하로 83-11 1층 GS25 편의점 내,충북 제천시 신죽하로 83-11
1204,1등,제일복권,반자동,경남 양산시 양산역2길 7 103호 복권판매점,경남 양산시 양산역2길 7
1204,1등,한빛3단지 천지인,자동,경기 파주시 와석순환로 66 103호,경기 파주시 와석순환로 66
1204,1등,로또편의점,자동,경기 김포시 김포한강11로 288-32 골든스퀘어101호,경기 김포시 김포한강11로 288-32
1204,1등,로터리 클럽,자동,인천 미추홀구 인하로 250-1 1층,인천 미추홀구 인하로 250-1
1204,1등,방이먹자골목 천하명당 일등복권,수동,서울 송파구 오금로11길 24 제1층 주차장 옆,서울 송파구 오금로 11길 24
1204,1등,복슈퍼,자동,경남 김해시 가야로 19 푸르지오상가 111호 복권판매점,경남 김해시 가야로 19
1204,1등,행운로또복권방,자동,서울 성북구 보국문로 34-1,서울 성북구 보국문로 34-1
1204,1등,가판100호,자동,서울 중구 을지로 113-4,서울 중구 을지로 113-4
1204,1등,대박복권방,수동,인천 부평구 영성로 50-1 1층,인천 부평구 영성로 50-1
1204,1등,희망복권방,수동,충남 예산군 예산로 241 1층,충남 예산군 예산로 241
1204,1등,조례로또복권방,자동,전남 순천시 봉화2길 58 조례로또복권방,전남 순천시 봉화2길 58
1204,1등,초이스 복권판매점,자동,경기 안성시 석정2길 20 1층 104호,경기 안성시 석정2길 20
1203,1등,와이에스컴퍼니,자동,대구 남구 두류공원로 105 1층,대구 남구 두류공원로 105
1203,1등,대박슈퍼,수동,인천 부평구 경원대로 1438,인천 부평구 경원대로 1438
1203,1등,일등커피로또판매점,자동,대구 수성구 동대구로 371 1층일등커피숍내,대구 수성구 동대구로 371
1203,1등,대왕로또,수동,부산 영도구 남항로 35,부산 영도구 남항로 35
1203,1등,터미널식품,자동,경기 의정부시 동일로 640,경기 의정부시 동일로 640
1203,1등,행운모아 복권방,수동,경기 수원시 권선구 서수원로577번길 305 제상가동 비205호(금곡동 수원모아미래도센트럴타운2단지),경기 수원시 권선구 서수원로 577번길 305
1203,1등,일주일행복로또(파장매표소),반자동,경기 수원시 장안구 파장로82번길 3,경기 수원시 장안구 파장로 82번길 3
1203,1등,노다지복권,수동,강원 횡성군 문정로 52,강원 횡성군 문정로 52
1203,1등,진평양행,자동,강원 강릉시 임영로 107,강원 강릉시 임영로 107
1203,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465,전북 전주시 덕진구 혁신로 465
1203,1등,행복한복권방,자동,전북 전주시 덕진구 혁신로 465,전북 전주시 덕진구 혁신로 465
1203,1등,행복로또방,수동,경남 김해시 김해대로2529번길 31 100-3호 복권판매점,경남 김해시 김해대로 2529번길 31
1203,1등,황금알복권,수동,전남 광양시 광포로 39 1층 (광영동),전남 광양시 광포로 39
1203,1등,지에스25(울산우정선경점)로또,자동,울산 중구 우정3길 12,울산 중구 우정3길 12
1203,1등,동성슈퍼,자동,울산 울주군 북문1길 7 101호,울산 울주군 북문1길 7
1203,1등,영앤로또,자동,경기 남양주시 다산중앙로123번길 47 메트로3단지 상기 106호,경기 남양주시 다산중앙로 123번길 47
1203,1등,두근두근로또복권,자동,경기 고양시 일산동구 일산로 453 1층 106호,경기 고양시 일산동구 일산로 453
1203,1등,동하인터내셔날,수동,경기 남양주시 진건오남로884번길 23 105106호,경기 남양주시 진건오남로 884번길 23
1203,1등,만물전파사,자동,경기 남양주시 마석중앙로 74,경기 남양주시 마석중앙로 74
1203,1등,행운복권방,자동,경기 의정부시 충의로 55,경기 의정부시 충의로 55
1203,1등,행복점빵,수동,경기 고양시 덕양구 지축1로 41 108호,경기 고양시 덕양구 지축1로 41
1202,1등,씨스페이스 어방점,수동,경남 김해시 인제로170번길 15-6 편의점 내,경남 김해시 인제로 170번길 15-6
1202,1등,KOREA마트,자동,경북 구미시 임은길 64,경북 구미시 임은길 64
1202,1등,드림복권방,자동,경기 수원시 권선구 정조로 515,경기 수원시 권선구 정조로 515
1202,1등,좋은터,수동,인천 계양구 효서로 204 1층,인천 계양구 효서로 204
1202,1등,선경로또,자동,충북 제천시 용두대로 59 1층,충북 제천시 용두대로 59
1202,1등,월드로또복권 판매점,자동,서울 강남구 논현로63길 16 1층 102호,서울 강남구 논현로 63길 16
1202,1등,태릉시장복권방,자동,서울 중랑구 중랑역로 47,서울 중랑구 중랑역로 47
1202,1등,사당,수동,서울 관악구 과천대로 953,서울 관악구 과천대로 953
1202,1등,성지로또,자동,서울 송파구 마천로7길 6 대림아파트상가115호,서울 송파구 마천로 7길 6
1202,1등,씨스페이스 어방점,수동,경남 김해시 인제로170번길 15-6 편의점 내,경남 김해시 인제로 170번길 15-6
1202,1등,땅끝 로또,수동,전남 해남군 산정1길 111 세븐일레븐,전남 해남군 산정1길 111
1202,1등,대운복권,자동,경기 성남시 중원구 성남대로 1149,경기 성남시 중원구 성남대로 1149
1202,1등,로또까페,수동,인천 계양구 길마로 35 1층 102호,인천 계양구 길마로 35
1202,1등,머니머니,자동,경기 시흥시 월곶중앙로14번길 100,경기 시흥시 월곶중앙로 14번길 100
1201,1등,로또로복권,자동,전북 전주시 완산구 모악로 4729,전북 전주시 완산구 모악로 4729
1201,1등,세종로또방,수동,세종 용포로 32,세종 용포로 32
1201,1등,복권판매점,자동,경기 광명시 광명로 908 (광명동),경기 광명시 광명로 908
1201,1등,백금당,자동,부산 중구 중구로29번길 26,부산 중구 중구로 29번길 26
1201,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1201,1등,신일,자동,서울 강서구 까치산로 177 1층 101호,서울 강서구 까치산로 177
