회차,등위,상호명,당첨방식,소재지,cleaned_address
1177,1등,돈보따리,자동,경남 양산시 서창로 104 복권판매점,경남 양산시 서창로 104
1177,1등,노다지복권,자동,강원 삼척시 중앙시장길 48-49,강원 삼척시 중앙시장길 48-49
1177,1등,온누리복권,자동,서울 동작구 동작대로 65 1층,서울 동작구 동작대로 65
1177,1등,럭키로또복권판매점,자동,충북 청주시 상당구 무농정로 10-1,충북 청주시 상당구 무농정로 10-1
1176,1등,복권세상,수동,경기 여주시 우암로 21-1 1층,경기 여주시 우암로 21-1
1176,1등,로또통신,수동,경기 안성시 장기로 36,경기 안성시 장기로 36
1176,1등,복권세상,수동,경기 여주시 우암로 21-1 1층,경기 여주시 우암로 21-1
1176,1등,오늘도로또,자동,경기 부천시 신흥로 190 1동 1층 120호,경기 부천시 신흥로 190
1176,1등,마치복권,자동,대전 서구 구봉로 125,대전 서구 구봉로 125
1176,1등,어게인,수동,경기 고양시 일산동구 중산로 105 현해프라자 113호,경기 고양시 일산동구 중산로 105
1176,1등,어게인,수동,경기 고양시 일산동구 중산로 105 현해프라자 113호,경기 고양시 일산동구 중산로 105
1176,1등,신의 축복,자동,경기 남양주시 사릉로34번길 24 (금곡동) 7호,경기 남양주시 사릉로 34번길 24
1176,1등,돼지복권명당,자동,부산 기장군 해맞이로 365-1,부산 기장군 해맞이로 365-1
1176,1등,복권세상,수동,경기 여주시 우암로 21-1 1층,경기 여주시 우암로 21-1
1176,1등,흥건슈퍼,자동,전북 전주시 완산구 거마평로 25 흥건슈퍼,전북 전주시 완산구 거마평로 25
1176,1등,복권세상,수동,경기 여주시 우암로 21-1 1층,경기 여주시 우암로 21-1
1176,1등,스파,자동,서울 노원구 동일로 1493 주공10단지종합상가111,서울 노원구 동일로 1493
1175,1등,코사마트,반자동,경기 부천시 오정로 203,경기 부천시 오정로 203
1175,1등,보람복권방,수동,울산 남구 화합로194번길 18-1 1층,울산 남구 화합로 194번길 18-1
1175,1등,해피+24시편의점,자동,광주 북구 하서로 330,광주 북구 하서로 330
1175,1등,행복한 꿈 이야기,자동,서울 관악구 봉천로 612 1층,서울 관악구 봉천로 612
1175,1등,88수퍼,자동,서울 금천구 가산로 130,서울 금천구 가산로 130
1175,1등,미나식품(로또판매점),자동,서울 강서구 금낭화로 91-12,서울 강서구 금낭화로 91-12
1175,1등,천하명당복권판매점,자동,제주 제주시 서해안로 510,제주 제주시 서해안로 510
1175,1등,굿모닝,수동,전남 순천시 중앙로 220 굿모닝,전남 순천시 중앙로 220
1175,1등,복권나라,자동,전남 여수시 중앙로 62 1층,전남 여수시 중앙로 62
1175,1등,만복복권,자동,충남 계룡시 엄사중앙로 93,충남 계룡시 엄사중앙로 93
1175,1등,금손로또판매점,자동,충남 당진시 서해로 5772,충남 당진시 서해로 5772
1175,1등,강서복권방,자동,부산 사하구 대티로 80,부산 사하구 대티로 80
1175,1등,로터리복권방,수동,부산 서구 자갈치로 4,부산 서구 자갈치로 4
1175,1등,오사랑복권,수동,충북 청주시 흥덕구 진재로 42,충북 청주시 흥덕구 진재로 42
1175,1등,해수로또,자동,충북 청주시 상당구 산성로 22-1,충북 청주시 상당구 산성로 22-1
1175,1등,럭키복권점,자동,강원 강릉시 강릉대로 305,강원 강릉시 강릉대로 305
1175,1등,GS로또(남대구IC점),반자동,대구 달서구 성서공단로 346 1층 GS편의점,대구 달서구 성서공단로 346
1175,1등,라이프복권,수동,부산 동구 고관로 106 1층 137~139호,부산 동구 고관로 106
1175,1등,대구연쇄점,자동,부산 부산진구 중앙대로783번길 8,부산 부산진구 중앙대로 783번길 8
1175,1등,복권방,자동,서울 광진구 자양로18길 34,서울 광진구 자양로 18길 34
1174,1등,진대박 로또복권방,수동,울산 동구 대송로 139,울산 동구 대송로 139
1174,1등,신영슈퍼,수동,서울 강남구 광평로51길 27 삼익아파트상가101호,서울 강남구 광평로 51길 27
1174,1등,해바라기 복권방,자동,부산 기장군 차성동로25번길 37 가동 100호,부산 기장군 차성동로 25번길 37
1174,1등,창신할인마트,수동,경북 경산시 경산로 136-3,경북 경산시 경산로 136-3
1174,1등,CU노서점,자동,경북 경주시 금성로259번길 38 1층 CU 노서점 내,경북 경주시 금성로 259번길 38
1174,1등,대광복권방,수동,전남 화순군 칠충로 55 대광그린상가동 1층109호,전남 화순군 칠충로 55
1174,1등,씨유 창원역점,자동,경남 창원시 의창구 의창대로 66 CU편의점,경남 창원시 의창구 의창대로 66
1174,1등,삼성포토랜드,수동,인천 강화군 북문길 6,인천 강화군 북문길 6
1174,1등,로또는내운명,자동,대전 중구 대종로 277,대전 중구 대종로 277
1174,1등,대소원로또,자동,충북 충주시 중원대로 4373 휴게소내 컨테이너,충북 충주시 중원대로 4373
1174,1등,파리스뷰티 복권,수동,충남 천안시 동남구 개목8길 5 102호(파리스뷰티 내),충남 천안시 동남구 개목8길 5
1174,1등,1등복권방,자동,울산 울주군 동문길 84,울산 울주군 동문길 84
1174,1등,진대박 로또복권방,수동,울산 동구 대송로 139,울산 동구 대송로 139
1174,1등,진대박 로또복권방,수동,울산 동구 대송로 139,울산 동구 대송로 139
1174,1등,영24시,자동,울산 동구 월봉로 60,울산 동구 월봉로 60
1173,1등,다올공인중개사사무소,수동,인천 서구 승학로512번길 26-1 1호실,인천 서구 승학로 512번길 26-1
1173,1등,로또복권,자동,울산 남구 꽃대나리로 71,울산 남구 꽃대나리로 71
1173,1등,대박로또,자동,경기 가평군 중앙로 35 1층,경기 가평군 중앙로 35
1173,1등,복권판매점,자동,경기 성남시 중원구 성남대로1130번길 3 제1층 제101호,경기 성남시 중원구 성남대로 1130번길 3
1173,1등,희망을주는사람,자동,경기 용인시 처인구 양지로 111 1층 상가,경기 용인시 처인구 양지로 111
1173,1등,황금복권방,자동,강원 원주시 봉화로 74 삼익아파트 상가 105호,강원 원주시 봉화로 74
1173,1등,원대박,자동,충북 음성군 대금로 1064-20 101호,충북 음성군 대금로 1064-20
1173,1등,대산슈퍼,수동,충남 천안시 동남구 복구정3길 1,충남 천안시 동남구 복구정3길 1
1173,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1173,1등,서재강변로또,자동,대구 달성군 서재로 172,대구 달성군 서재로 172
1173,1등,세진전자통신,자동,대구 서구 서대구로 156,대구 서구 서대구로 156
1173,1등,내가마트,수동,전남 순천시 삼산로 98,전남 순천시 삼산로 98
1173,1등,노다지 노원역점 복권방,수동,서울 노원구 상계로 78,서울 노원구 상계로 78
1173,1등,MS마트,수동,서울 광진구 광나루로 546,서울 광진구 광나루로 546
1173,1등,행운로또,자동,경북 구미시 들성로 106 1층102호,경북 구미시 들성로 106
1173,1등,대동도기상사,자동,경북 영천시 금완로 30,경북 영천시 금완로 30
1173,1등,행운복권방,자동,서울 은평구 서오릉로 10,서울 은평구 서오릉로 10
1173,1등,평안당,수동,서울 종로구 종로 219,서울 종로구 종로 219
1173,1등,다다복권방,자동,대구 달서구 월배로 32-1 1층 복권방,대구 달서구 월배로 32-1
1172,1등,돼지상회,자동,울산 북구 매산로 92 1층,울산 북구 매산로 92
1172,1등,로또복권방,자동,인천 부평구 마장로 287 한양프라자 104-1호,인천 부평구 마장로 287
1172,1등,매일로또,자동,부산 부산진구 당감로50번길 6,부산 부산진구 당감로 50번길 6
1172,1등,영광생활유통,자동,서울 금천구 범안로 1186,서울 금천구 범안로 1186
1172,1등,일공공일(CU편의점),자동,경기 안산시 단원구 예술대학로 82 중앙상가 102호,경기 안산시 단원구 예술대학로 82
1172,1등,도일복권방,수동,경기 시흥시 도일로 111,경기 시흥시 도일로 111
1172,1등,황금열매,자동,경기 성남시 중원구 산성대로 432-1 1층,경기 성남시 중원구 산성대로 432-1
1172,1등,대성슈퍼,반자동,경기 김포시 사우중로11번길 7 초원빌딩1층,경기 김포시 사우중로 11번길 7
1172,1등,돈나무복권,자동,충남 논산시 중앙로479번길 3-2,충남 논산시 중앙로 479번길 3-2
1172,1등,행운&빈센트,자동,제주 서귀포시 동문로 64,제주 서귀포시 동문로 64
1172,1등,서창복권나라,수동,경남 양산시 서창서2길 3,경남 양산시 서창서2길 3
1172,1등,천하명당복권방,자동,경남 거제시 옥포성안로 60,경남 거제시 옥포성안로 60
1172,1등,로또복권두정점,자동,충남 천안시 서북구 두정로 251 대원빌딩104호,충남 천안시 서북구 두정로 251
1171,1등,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1171,1등,둔전행운복권방,수동,경기 용인시 처인구 포곡로 110,경기 용인시 처인구 포곡로 110
1171,1등,호돌이복권방,반자동,경기 김포시 황금로109번길 80 101호,경기 김포시 황금로 109번길 80
1171,1등,여수대박복권,수동,전남 여수시 강남9길 24,전남 여수시 강남9길 24
1171,1등,피씨마트,수동,전북 군산시 경기장로 20,전북 군산시 경기장로 20
1171,1등,로또매니아,수동,강원 춘천시 춘천순환로 790 1층,강원 춘천시 춘천순환로 790
1171,1등,지에스(GS)25 신진주시티점,수동,경남 진주시 개양로 100 107동 상가106호 GS편의점내,경남 진주시 개양로 100
1171,1등,좋은터,자동,인천 계양구 효서로 204 1층,인천 계양구 효서로 204
1171,1등,도깨비,수동,경기 하남시 서하남로 136,경기 하남시 서하남로 136
1171,1등,아스타,반자동,광주 서구 상무대로 917,광주 서구 상무대로 917
1171,1등,드림복권방,수동,인천 중구 인중로 97-1 버스정류장 앞 GS편의점 옆,인천 중구 인중로 97-1
1171,1등,사랑정보통신,수동,울산 울주군 온덕2길 20,울산 울주군 온덕2길 20
1171,1등,송천복권방,수동,부산 해운대구 선수촌로 108,부산 해운대구 선수촌로 108
1171,1등,기장슈퍼,자동,부산 기장군 차성동로 69,부산 기장군 차성동로 69
1171,1등,도깨비,수동,경기 하남시 서하남로 136,경기 하남시 서하남로 136
1171,1등,도깨비,수동,경기 하남시 서하남로 136,경기 하남시 서하남로 136
1171,1등,행운복권방,수동,서울 도봉구 노해로63길 79 우림빌딩 112호,서울 도봉구 노해로 63길 79
1171,1등,천하복권방,수동,울산 동구 전하로 29,울산 동구 전하로 29
1171,1등,보람복권,수동,서울 서대문구 통일로39길 22-58,서울 서대문구 통일로 39길 22-58
1171,1등,상승플러스,자동,서울 영등포구 도림로139길 12-1 1층,서울 영등포구 도림로 139길 12-1
1171,1등,센타포인트명동앞복지가판점,수동,서울 중구 남대문로 84 앞 가판점,서울 중구 남대문로 84
1170,1등,아리아리,자동,경남 김해시 김해대로2491번길 28,경남 김해시 김해대로 2491번길 28
1170,1등,희망복권방,수동,전남 나주시 풍물시장1길 3,전남 나주시 풍물시장1길 3
1170,1등,공원슈퍼,수동,경기 수원시 장안구 팔달로 255 1층(영화동),경기 수원시 장안구 팔달로 255
1170,1등,TO TO,자동,강원 강릉시 주문로 55,강원 강릉시 주문로 55
1170,1등,대치럭키 로또,수동,서울 강남구 선릉로76길 38 1층 3호,서울 강남구 선릉로 76길 38
1170,1등,월드복권,자동,대구 서구 북비산로 98,대구 서구 북비산로 98
1170,1등,로또맛집배은복,자동,경기 김포시 풍무로 121 1층 6호,경기 김포시 풍무로 121
1170,1등,대박슈퍼,자동,경기 부천시 원미로 103 마동 1층 103호,경기 부천시 원미로 103
1170,1등,태평고개 가판대,자동,경기 성남시 수정구 성남대로 1282,경기 성남시 수정구 성남대로 1282
1170,1등,운암로또,수동,경기 오산시 운암로 123 1층 101호 (오산동운암빌딩),경기 오산시 운암로 123
1170,1등,금빛복권,자동,울산 울주군 봉화로 16 왼쪽 복권판매점,울산 울주군 봉화로 16
1170,1등,로또,수동,경기 포천시 죽엽산로196번길 4,경기 포천시 죽엽산로 196번길 4
1170,1등,NG24,자동,경북 칠곡군 북중리3길 59,경북 칠곡군 북중리 3길 59
1170,1등,월드복권방,수동,경남 통영시 북신시장1길 12 월드마트 내,경남 통영시 북신시장1길 12
1170,1등,씨유 옥정인생역전점,자동,경기 양주시 화합로 1657 1층 108호(율정동),경기 양주시 화합로 1657
1170,1등,토큰판매점,수동,서울 강북구 도봉로 45 가판,서울 강북구 도봉로 45
1170,1등,엠에스리테일점,자동,강원 춘천시 춘천순환로 600 MS마트 상가,강원 춘천시 춘천순환로 600
1170,1등,대박천하마트,자동,인천 부평구 굴포로 48,인천 부평구 굴포로 48
1170,1등,로또명당해미점,자동,충남 서산시 남문2로 108,충남 서산시 남문2로 108
1170,1등,황금돼지,반자동,대구 수성구 용학로35길 3 (지산동),대구 수성구 용학로 35길 3
1169,1등,노다지로또,자동,인천 서구 완정로 179 검단제이원빌딩 108호,인천 서구 완정로 179
1169,1등,프랜드편의점,자동,경기 화성시 3.1만세로 1100-2,경기 화성시 3.1만세로 1100-2
1169,1등,행운가득명당복권,자동,울산 울주군 점촌5길 23 201호,울산 울주군 점촌5길 23
1169,1등,투싼,자동,서울 강남구 역삼로 310 한솔필리아 1층 127호,서울 강남구 역삼로 310
1169,1등,홈돌이로또복권,자동,인천 남동구 경원대로 971 삼성홈플러스간석점2층내,인천 남동구 경원대로 971
1169,1등,관저중앙로또,자동,대전 서구 관저동로99번길 23 편의점,대전 서구 관저동로 99번길 23
1169,1등,진평양행,자동,강원 강릉시 임영로 107,강원 강릉시 임영로 107
1169,1등,은혜복권방,수동,전북 전주시 완산구 당산로 52,전북 전주시 완산구 당산로 52
1169,1등,우리복권판매점,수동,경북 포항시 북구 죽파로 35-1 1층 101호,경북 포항시 북구 죽파로 35-1
1169,1등,오천억복권방,자동,광주 서구 상무대로 1087,광주 서구 상무대로 1087
1168,1등,우리로또복권방,수동,전남 여수시 무선중앙로 71,전남 여수시 무선중앙로 71
1168,1등,드림메드,수동,경기 안산시 상록구 월피로 56 101호,경기 안산시 상록구 월피로 56
1168,1등,보은로또,자동,충북 보은군 보은로 140-1,충북 보은군 보은로 140-1
1168,1등,복권세상,자동,전남 목포시 청호로 139 1층 복권세상,전남 목포시 청호로 139
1168,1등,로또복권나눔커피,수동,충남 아산시 모산로 163 1층,충남 아산시 모산로 163
1168,1등,웃는 복권방,자동,경북 구미시 형곡로39길 3 102호(형곡동),경북 구미시 형곡로 39길 3
1168,1등,대박나라,자동,경기 시흥시 함송로 15 111호(정왕동화신프라자),경기 시흥시 함송로 15
1168,1등,꽃길로또방,자동,경기 고양시 덕양구 꽃내음1길 21 1층 110호(향동동 청우프라자),경기 고양시 덕양구 꽃내음1길 21
1168,1등,로또생삼겹,자동,인천 남동구 논고개로 77,인천 남동구 논고개로 77
1168,1등,종합복권슈퍼,자동,경기 시흥시 마유로 336 정일빌딩104,경기 시흥시 마유로 336
1168,1등,충남상회,자동,인천 미추홀구 참외전로 268 302동 B211호,인천 미추홀구 참외전로 268
1168,1등,복권명당,자동,대전 중구 목중로 47,대전 중구 목중로 47
1168,1등,초이스 로또,자동,울산 남구 화합로125번길 9 CU달동초이스점내,울산 남구 화합로 125번길 9
1167,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1167,1등,세븐일레븐 현풍대로점,반자동,대구 달성군 비슬로 581 세븐일레븐현풍대로점,대구 달성군 비슬로 581
1167,1등,두꺼비복권방,자동,충남 공주시 무령로 599-25 드림프라자101호,충남 공주시 무령로 599-25
1167,1등,복권나라(가좌사),수동,인천 서구 원적로 73,인천 서구 원적로 73
1167,1등,복권나라,자동,서울 관악구 남부순환로 1739-9,서울 관악구 남부순환로 1739-9
1167,1등,서하네,자동,서울 구로구 개봉로20길 66,서울 구로구 개봉로 20길 66
1167,1등,세븐일레븐화성봉담수기점,수동,경기 화성시 세자로 356 1층 102호,경기 화성시 세자로 356
1167,1등,데스콤㈜영등포영업소,자동,서울 영등포구 영중로 48,서울 영등포구 영중로 48
1167,1등,로또명당(북부점),자동,대구 서구 서대구로 318-1,대구 서구 서대구로 318-1
1167,1등,행운복권,수동,인천 부평구 배곶로 24 지1층 비03호(십정동 이즈라이프아파트),인천 부평구 배곶로 24
1166,1등,신문가판점,수동,서울 용산구 한강대로 277-3 가판,서울 용산구 한강대로 277-3
1166,1등,6/45 로또,자동,서울 강동구 아리수로93가길 87 상가 105호,서울 강동구 아리수로 93가길 87
1166,1등,신문가판점,수동,서울 용산구 한강대로 277-3 가판,서울 용산구 한강대로 277-3
1166,1등,신문가판점,수동,서울 용산구 한강대로 277-3 가판,서울 용산구 한강대로 277-3
1166,1등,NG24,자동,경북 칠곡군 북중리3길 59,경북 칠곡군 북중리 3길 59
1166,1등,일등로또복권 판매점,자동,경북 영천시 완산로 23-1 1층 복권방,경북 영천시 완산로 23-1
1166,1등,복동희로또 불당점,자동,충남 천안시 서북구 불당5길 23 103호(콤마커피숍 내),충남 천안시 서북구 불당5길 23
1166,1등,대박로또명당,수동,충남 당진시 송악로 37,충남 당진시 송악로 37
1166,1등,대박의터,자동,강원 춘천시 영서로 1786,강원 춘천시 영서로 1786
1166,1등,우두로또,수동,강원 춘천시 영서로 2786 1층,강원 춘천시 영서로 2786
1166,1등,온누리로또,자동,경기 수원시 권선구 세권로 122 1층 102호,경기 수원시 권선구 세권로 122
1166,1등,꿈하나,수동,대구 서구 팔달로 142 1층 복권방,대구 서구 팔달로 142
1166,1등,신문가판점,수동,서울 용산구 한강대로 277-3 가판,서울 용산구 한강대로 277-3
1166,1등,신문가판점,수동,서울 용산구 한강대로 277-3 가판,서울 용산구 한강대로 277-3
1165,1등,행복을향해쏴라,수동,서울 노원구 동일로197길 21 1층 104호(공릉동우성빌딩),서울 노원구 동일로 197길 21
1165,1등,전대복권판매점,자동,광주 북구 서양로 28 102호,광주 북구 서양로 28
1165,1등,대전우표사,자동,대전 동구 중앙로204번길 16-1,대전 동구 중앙로 204번길 16-1
1165,1등,로또명당인주점,자동,충남 아산시 서해로 519-2,충남 아산시 서해로 519-2
1165,1등,지에스GS오천두배점,자동,경북 포항시 남구 원동로 98 1층좌측첫번째상가GS25오천두배점,경북 포항시 남구 원동로 98
1165,1등,아이러브마트복권방,자동,울산 중구 유곡로 19-1,울산 중구 유곡로 19-1
1165,1등,한방로또,수동,전남 순천시 남산로 154-1 1층101호,전남 순천시 남산로 154-1
1165,1등,베스트올수성점,자동,전북 정읍시 수성2로 28,전북 정읍시 수성2로 28
1165,1등,훼미리마트 우아대로점,반자동,전북 전주시 덕진구 건산로 276,전북 전주시 덕진구 건산로 276
1165,1등,씨유 군산디오션점,자동,전북 군산시 궁포1로 42 씨유 군산디오션점 내,전북 군산시 궁포1로 42
1165,1등,대산슈퍼,자동,충남 천안시 동남구 복구정3길 1,충남 천안시 동남구 복구정3길 1
1165,1등,탐나네,자동,제주 제주시 노연로 138,제주 제주시 노연로 138
1165,1등,홈런복권판매점,자동,경기 오산시 내삼미로 93 제1층 109호,경기 오산시 내삼미로 93
1164,1등,경이네복권마트,자동,경북 포항시 북구 장량중앙로 81 431동117호삼구트리니엔4차상가,경북 포항시 북구 장량중앙로 81
1164,1등,그린슈퍼,반자동,서울 동대문구 왕산로 138,서울 동대문구 왕산로 138
1164,1등,프로토베팅샵,자동,부산 중구 국제시장2길 5 4호,부산 중구 국제시장2길 5
1164,1등,대영당안경원,수동,부산 동래구 충렬대로237번길 9,부산 동래구 충렬대로 237번길 9
1164,1등,도곡 행운로또방,자동,서울 강남구 도곡로4길 11 102호,서울 강남구 도곡로 4길 11
1164,1등,복권판매점(행복드림),자동,경기 양평군 강남로 1016 나동 4호,경기 양평군 강남로 1016
1164,1등,베스트올수성점,자동,전북 정읍시 수성2로 28,전북 정읍시 수성2로 28
1164,1등,행복한사람들 (흥부네),자동,경기 광주시 경충대로 763,경기 광주시 경충대로 763
1164,1등,비에이치(BH)복권,자동,부산 남구 석포로 95,부산 남구 석포로 95
1164,1등,황금복권방,자동,강원 원주시 봉화로 74 삼익아파트 상가 105호,강원 원주시 봉화로 74
1164,1등,제일복권,수동,인천 서구 율도로 45,인천 서구 율도로 45
1164,1등,알리바이,자동,광주 광산구 수등로 253 1층 알리바이,광주 광산구 수등로 253
1164,1등,종합복권슈퍼,자동,경기 시흥시 마유로 336 정일빌딩104,경기 시흥시 마유로 336
1163,1등,묵동식품,자동,서울 중랑구 동일로 919,서울 중랑구 동일로 919
1163,1등,포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,경북 포항시 북구 죽도로 33
1163,1등,주택복권방,수동,경기 용인시 수지구 풍덕천로 144-1 103호,경기 용인시 수지구 풍덕천로 144-1
1163,1등,로또명당카페,수동,경기 시흥시 거북섬2길 21 1층 103호,경기 시흥시 거북섬2길 21
1163,1등,내포복권방,자동,충남 예산군 덕산온천로 387,충남 예산군 덕산온천로 387
1163,1등,GS25예산서오점복권,자동,충남 예산군 역전로 150-2 GS25편의점 내,충남 예산군 역전로 150-2
1163,1등,비휴 복권판매점,자동,경남 산청군 지리산대로 3474-1 1층,경남 산청군 지리산대로 3474-1
1163,1등,양말 란제리,자동,경기 안양시 만안구 장내로 125 1층 상가2호 전부,경기 안양시 만안구 장내로 125
1163,1등,금용,수동,서울 강북구 4.19로 1 1층,서울 강북구 4.19로 1
1163,1등,복권나라,자동,서울 관악구 남부순환로 1739-9,서울 관악구 남부순환로 1739-9
1163,1등,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr),동행복권(dhlottery.co.kr)
1163,1등,돈벼락맞는곳,자동,부산 서구 구덕로 194,부산 서구 구덕로 194
1163,1등,황금복권,반자동,인천 계양구 장제로 889-1,인천 계양구 장제로 889-1
1163,1등,행운대박복권방,수동,경기 남양주시 광릉내로 17,경기 남양주시 광릉내로 17
1163,1등,로또복권두정점,자동,충남 천안시 서북구 두정로 251 대원빌딩104호,충남 천안시 서북구 두정로 251
1162,1등,다모아복권,자동,서울 구로구 경인로19길 4,서울 구로구 경인로 19길 4
1162,1등,팡팡복권방,자동,충북 진천군 장기길 102,충북 진천군 장기길 102
1162,1등,왕대박복권방,수동,충북 청주시 청원구 두릉유리로 1119,충북 청주시 청원구 두릉유리로 1119
1162,1등,대복로또,수동,강원 원주시 나비허리길 120-19 1층,강원 원주시 나비허리길 120-19
1162,1등,신리천왕대박복권,반자동,경기 화성시 왕배산2길 11-1 102호,경기 화성시 왕배산2길 11-1
1162,1등,이마트24아산도고명당점,자동,충남 아산시 온천대로 104,충남 아산시 온천대로 104
1162,1등,찬누리,자동,충남 부여군 사비로 61,충남 부여군 사비로 61
1162,1등,좋은터,수동,경기 의정부시 동일로454번길 19 1층(신곡동),경기 의정부시 동일로 454번길 19
1162,1등,서울복권방,수동,서울 중랑구 동일로 809-1,서울 중랑구 동일로 809-1
1162,1등,네잎크로버복권방,자동,제주 서귀포시 고성오조로 9,제주 서귀포시 고성오조로 9
1162,1등,레인보우,수동,경북 경산시 성동로 16 101호,경북 경산시 성동로 16
1162,1등,로또편의점,수동,전남 강진군 보은로 115,전남 강진군 보은로 115
1162,1등,충청복권전문점,수동,충남 천안시 서북구 성환2로 108,충남 천안시 서북구 성환2로 108
1162,1등,송내매표소,수동,경기 부천시 송내대로 37 104호,경기 부천시 송내대로 37
1162,1등,예스복권방,수동,경기 남양주시 별내중앙로 56 메인프라자 1층 105호,경기 남양주시 별내중앙로 56
1162,1등,강남슈퍼,수동,경기 의정부시 의정로 193,경기 의정부시 의정로 193
1162,1등,인생역전,수동,경기 파주시 새꽃로 227 7호,경기 파주시 새꽃로 227
1162,1등,성강동인,수동,경기 하남시 신장로 212 1층 2호,경기 하남시 신장로 212
1162,1등,로또판매선부점,수동,경기 안산시 단원구 선부광장로 27 122-2호,경기 안산시 단원구 선부광장로 27
1162,1등,한아름 복권,자동,경기 김포시 장차로 19 102호,경기 김포시 장차로 19
1162,1등,상인명당복권방,자동,대구 달서구 조암남로16길 19 1동 1층 118호,대구 달서구 조암남로 16길 19
1162,1등,루루사진관,수동,인천 계양구 굴재방터길 27 1호 루루사진관,인천 계양구 굴재방터길 27
1162,1등,삼성포토랜드,수동,인천 강화군 북문길 6,인천 강화군 북문길 6
1162,1등,로또 명당,수동,인천 남동구 구월남로 271 102호,인천 남동구 구월남로 271
1162,1등,일등복권방,수동,울산 남구 삼산중로 20,울산 남구 삼산중로 20
1162,1등,행복한사람들 (흥부네),수동,경기 광주시 경충대로 763,경기 광주시 경충대로 763
1162,1등,행운 마트,수동,인천 남동구 만수로 65,인천 남동구 만수로 65
1162,1등,엔마트,수동,서울 동대문구 장한로31길 10,서울 동대문구 장한로 31길 10
1162,1등,대구연쇄점,수동,부산 부산진구 중앙대로783번길 8,부산 부산진구 중앙대로 783번길 8
1162,1등,노다지복권방,수동,부산 북구 낙동대로 1704,부산 북구 낙동대로 1704
1162,1등,대교복권판매점,자동,부산 영도구 절영로13번길 17,부산 영도구 절영로 13번길 17
1162,1등,소망복권,자동,서울 구로구 경인로35길 83 1층 101호(고척동),서울 구로구 경인로 35길 83
1162,1등,오케이상사,자동,서울 서초구 신반포로 176 센트럴시티내100호매점,서울 서초구 신반포로 176
1162,1등,복터진날,반자동,부산 사하구 장림로 162-1 복권판매점,부산 사하구 장림로 162-1
1162,1등,서울로또방,자동,충북 옥천군 삼금로 8,충북 옥천군 삼금로 8
1162,1등,대박찬스,수동,충북 청주시 흥덕구 가경로161번길 3,충북 청주시 흥덕구 가경로 161번길 3
1161,1등,복조리복권방,자동,전북 장수군 장계천변길 55-4,전북 장수군 장계천변길 55-4
1161,1등,세븐복권,수동,충북 증평군 초중6길 19 1층(세븐일레븐 내),충북 증평군 초중6길 19
1161,1등,로또복권 포항IC점,자동,경북 포항시 북구 새마을로 340 세븐일레븐 옆,경북 포항시 북구 새마을로 340
1161,1등,46중통 로또판매점,수동,경기 시흥시 중심상가로 39 106호,경기 시흥시 중심상가로 39
1161,1등,복권나라,수동,경기 오산시 성호대로93번길 27,경기 오산시 성호대로 93번길 27
1161,1등,느낌 복권판매점,자동,경기 안산시 상록구 용신로 328,경기 안산시 상록구 용신로 328
1161,1등,대선세무경영사무소,수동,경기 안산시 상록구 석호로 189 101호,경기 안산시 상록구 석호로 189
1161,1등,종합복권슈퍼,자동,경기 시흥시 마유로 336 정일빌딩104,경기 시흥시 마유로 336
1161,1등,종합복권슈퍼,자동,경기 시흥시 마유로 336 정일빌딩104,경기 시흥시 마유로 336
1161,1등,대길복권,자동,경기 수원시 장안구 서부로 2129-1 1층 (율전동),경기 수원시 장안구 서부로 2129-1
1161,1등,동행로또복권판매,자동,인천 동구 화도진로 33-1 1층,인천 동구 화도진로 33-1
1161,1등,복권왕국,자동,인천 부평구 부흥로 359 1층,인천 부평구 부흥로 359
1161,1등,신일,자동,서울 강서구 까치산로 177 1층 101호,서울 강서구 까치산로 177
1161,1등,대박신화복권판매점,수동,인천 미추홀구 인하로 267,인천 미추홀구 인하로 267
1161,1등,드림복권방,자동,인천 연수구 아트센터대로168번길 100 G동 180호(송도동한라 웨스턴파크 송도),인천 연수구 아트센터대로 168번길 100
1161,1등,이마트24중울산점,수동,울산 중구 옥골샘4길 21,울산 중구 옥골샘4길 21
1160,1등,로또대박,수동,세종 장척로 571,세종 장척로 571
1160,1등,로그인복권방,반자동,경북 구미시 상사동로 149-4 사곡동,경북 구미시 상사동로 149-4
1160,1등,다니엘사,자동,경기 안산시 단원구 원선1로 38 101호,경기 안산시 단원구 원선1로 38
